question,base_question,api
Mình muốn Cho mình Số dư tài khoản của tui là bao nhiêu,Số dư tài khoản của tôi là bao nhiêu,getAccountDetail
Giúp tôi Cho mình Tài khoản thuộc loại nào,Tài khoản của tôi thuộc loại nào,getAccountDetail
Cho tôi kiểm tra số dư tài khoản,Xem số dư tài khoản,getAccountDetail
cho biết số dư tài khoản được không,Xem số dư tài khoản,getAccountDetail
Mình muốn Số tài khoản là gì giùm,Số tài khoản của tôi là gì,getAccountDetail
Cho mình Làm ơn Trạng thái tài khoản của tui,Trạng thái tài khoản của tôi,getAccountDetail
Giúp mình Làm ơn Tài khoản đang hoạt động không,Tài khoản đang hoạt động không,getAccountDetail
cần Làm ơn Cho biết số tài khoản,Cho biết số tài khoản,getAccountDetail
Tôi cần Làm ơn Xem số dư tài khoản,Xem số dư tài khoản,getAccountDetail
Được không nếu Chi nhánh mở tài khoản của tôi giùm,Chi nhánh mở tài khoản của tôi,getAccountDetail
Mình muốn Xem số dư tài khoản giùm,Xem số dư tài khoản,getAccountDetail
Mình muốn Chi nhánh mở tài khoản của tôi được không?,Chi nhánh mở tài khoản của tôi,getAccountDetail
Tiền trong tài khoản còn bao nhiêu ạ nha,Tiền trong tài khoản còn bao nhiêu,getAccountDetail
Làm ơn Còn được bao nhiêu tiền trong tài khoản được không?,Còn bao nhiêu tiền trong tài khoản,getAccountDetail
Cho tôi Tiền trong tài khoản còn là gì nhé,Tiền trong tài khoản còn bao nhiêu,getAccountDetail
Tôi cần Cho biết số tài khoản,Cho biết số tài khoản,getAccountDetail
Có thể Kiểm tra chi tiết balance được không?,Kiểm tra chi tiết số dư,getAccountDetail
Trạng thái tài khoản của tôi nha với,Trạng thái tài khoản của tôi,getAccountDetail
Được không nếu Số dư tài khoản của em là là gì,Số dư tài khoản của tôi là bao nhiêu,getAccountDetail
em muốn hiển thị số dư tài khoản,Xem số dư tài khoản,getAccountDetail
Tôi muốn Tài khoản đang hoạt động không ạ,Tài khoản đang hoạt động không,getAccountDetail
Được không nếu Tiền trong tài khoản còn được bao nhiêu,Tiền trong tài khoản còn bao nhiêu,getAccountDetail
Được không nếu Số dư tài khoản là bao nhiêu,Số dư tài khoản của tôi là bao nhiêu,getAccountDetail
Giúp tôi Số tài khoản là gì nha,Số tài khoản của tôi là gì,getAccountDetail
Giúp tôi Số tài khoản của tôi là gì giúp với,Số tài khoản của tôi là gì,getAccountDetail
Tôi cần Số tài khoản của mình là gì ạ,Số tài khoản của tôi là gì,getAccountDetail
Làm ơn Chi nhánh mở tài khoản của giúp với,Chi nhánh mở tài khoản của tôi,getAccountDetail
Có thể Tiền trong tài khoản còn được bao nhiêu giùm,Tiền trong tài khoản còn bao nhiêu,getAccountDetail
Vui lòng Tiền trong tài khoản còn bao nhiêu,Tiền trong tài khoản còn bao nhiêu,getAccountDetail
Được không nếu Số dư tài khoản của tui là bao nhiêu giúp với,Số dư tài khoản của tôi là bao nhiêu,getAccountDetail
Xem số dư tài khoản được không nha,Xem số dư tài khoản,getAccountDetail
Cho biết số tài khoản với nhé,Cho biết số tài khoản,getAccountDetail
Tôi muốn Chi nhánh mở tài khoản của em ạ,Chi nhánh mở tài khoản của tôi,getAccountDetail
em cần Tiền trong tài khoản còn bao nhiêu với,Tiền trong tài khoản còn bao nhiêu,getAccountDetail
Cho mình Tên sản phẩm tài khoản với,Tên sản phẩm tài khoản,getAccountDetail
Cho mình Loại tài khoản của tôi là gì ạ,Loại tài khoản của tôi là gì,getAccountDetail
cần Tài khoản của tui thuộc loại nào,Tài khoản của tôi thuộc loại nào,getAccountDetail
Tiền trong tài khoản còn là gì với ạ,Tiền trong tài khoản còn bao nhiêu,getAccountDetail
Được không nếu Mình muốn Hạn mức thấu chi của tài khoản,Hạn mức thấu chi của tài khoản,getAccountDetail
Giúp mình Cho mình Tên sản phẩm tài khoản,Tên sản phẩm tài khoản,getAccountDetail
cần cho biết hạn mức thấu chi,Xem hạn mức thấu chi,getAccountDetail
Được không nếu Số dư tài khoản là bao nhiêu được không?,Số dư tài khoản của tôi là bao nhiêu,getAccountDetail
Kiểm tra chi tiết số dư giùm,Kiểm tra chi tiết số dư,getAccountDetail
Vui lòng Cho mình Tên sản phẩm tài khoản,Tên sản phẩm tài khoản,getAccountDetail
Kiểm tra số dư với được không,Kiểm tra số dư,getAccountDetail
Giúp tui Chi nhánh mở tài khoản của tui?,Chi nhánh mở tài khoản của tôi,getAccountDetail
Cho em Mình muốn Xem hạn mức thấu chi,Xem hạn mức thấu chi,getAccountDetail
Cho mình Cho mình Trạng thái tài khoản của em,Trạng thái tài khoản của tôi,getAccountDetail
Giúp Được không nếu Xem số dư tài khoản,Xem số dư tài khoản,getAccountDetail
Cho mình Xem chi tiết số dư tài khoản?,Xem chi tiết số dư tài khoản,getAccountDetail
em cần Tên sản phẩm tài khoản nhé,Tên sản phẩm tài khoản,getAccountDetail
Còn được bao nhiêu tiền trong tài khoản giúp với nhé,Còn bao nhiêu tiền trong tài khoản,getAccountDetail
Tôi muốn Cho mình Số tài khoản của tui là gì,Số tài khoản của tôi là gì,getAccountDetail
Cho Tên sản phẩm tài khoản giùm,Tên sản phẩm tài khoản,getAccountDetail
Giúp cho biết số dư tài khoản,Xem số dư tài khoản,getAccountDetail
Tên sản phẩm tài khoản nha với,Tên sản phẩm tài khoản,getAccountDetail
Tôi cần Balance tài khoản của tui được không,Balance tài khoản của tôi,getAccountDetail
Hạn mức thấu chi của tài khoản nha nha,Hạn mức thấu chi của tài khoản,getAccountDetail
Vui lòng Số tài khoản là gì ạ,Số tài khoản của tôi là gì,getAccountDetail
Vui lòng Trạng thái tài khoản của tôi với,Trạng thái tài khoản của tôi,getAccountDetail
Mình muốn Có thể Chi nhánh mở tài khoản của tôi,Chi nhánh mở tài khoản của tôi,getAccountDetail
Có thể balance tài khoản của em là bao nhiêu,Số dư tài khoản của tôi là bao nhiêu,getAccountDetail
Cho mình Được không nếu Loại tài khoản của em là gì,Loại tài khoản của tôi là gì,getAccountDetail
Mình muốn Tài khoản của tôi thuộc loại nào với,Tài khoản của tôi thuộc loại nào,getAccountDetail
Hạn mức thấu chi của tài khoản nha được không,Hạn mức thấu chi của tài khoản,getAccountDetail
Vui lòng Loại tài khoản của tôi là gì nhé,Loại tài khoản của tôi là gì,getAccountDetail
Tài khoản của tui thuộc loại nào với,Tài khoản của tôi thuộc loại nào,getAccountDetail
Cho biết số tài khoản với giùm,Cho biết số tài khoản,getAccountDetail
Cho mình Được không nếu Số dư tài khoản của em là bao nhiêu,Số dư tài khoản của tôi là bao nhiêu,getAccountDetail
Có thể Loại tài khoản của là gì?,Loại tài khoản của tôi là gì,getAccountDetail
Chi nhánh mở tài khoản của tôi với ạ,Chi nhánh mở tài khoản của tôi,getAccountDetail
Tiền trong tài khoản còn được bao nhiêu nha giùm,Tiền trong tài khoản còn bao nhiêu,getAccountDetail
Cho tui Cho mình Tiền trong tài khoản còn bao nhiêu,Tiền trong tài khoản còn bao nhiêu,getAccountDetail
Giúp tôi Hạn mức thấu chi của tài khoản?,Hạn mức thấu chi của tài khoản,getAccountDetail
Tôi cần Balance tài khoản của mình được không?,Balance tài khoản của tôi,getAccountDetail
Vui lòng Tài khoản đang hoạt động không nha,Tài khoản đang hoạt động không,getAccountDetail
muốn Xem chi tiết số dư tài khoản,Xem chi tiết số dư tài khoản,getAccountDetail
Làm ơn Làm ơn Trạng thái tài khoản của em,Trạng thái tài khoản của tôi,getAccountDetail
Tôi muốn Tiền trong tài khoản còn bao nhiêu được không,Tiền trong tài khoản còn bao nhiêu,getAccountDetail
Cho tôi Xem balance tài khoản giúp với,Xem số dư tài khoản,getAccountDetail
Được không nếu Kiểm tra chi tiết balance nhé,Kiểm tra chi tiết số dư,getAccountDetail
Chi nhánh mở tài khoản của tôi nhé,Chi nhánh mở tài khoản của tôi,getAccountDetail
Được không nếu Mình muốn Loại tài khoản là gì,Loại tài khoản của tôi là gì,getAccountDetail
Xem chi tiết số dư tài khoản với nhé,Xem chi tiết số dư tài khoản,getAccountDetail
Được không nếu Xem số dư tài khoản,Xem số dư tài khoản,getAccountDetail
Làm ơn Loại tài khoản của tui là gì,Loại tài khoản của tôi là gì,getAccountDetail
Có thể Kiểm tra chi tiết số dư giúp với,Kiểm tra chi tiết số dư,getAccountDetail
Giúp em Được không nếu Tài khoản của em thuộc loại nào,Tài khoản của tôi thuộc loại nào,getAccountDetail
Xem hạn mức thấu chi được không với,Xem hạn mức thấu chi,getAccountDetail
em cần Cho biết số tài khoản,Cho biết số tài khoản,getAccountDetail
tui muốn Mình muốn Hạn mức thấu chi của tài khoản,Hạn mức thấu chi của tài khoản,getAccountDetail
em muốn Cho mình Loại tài khoản của em là gì,Loại tài khoản của tôi là gì,getAccountDetail
Có thể Trạng thái tài khoản của tui nha,Trạng thái tài khoản của tôi,getAccountDetail
Cho mình Mình muốn Tiền trong tài khoản còn bao nhiêu,Tiền trong tài khoản còn bao nhiêu,getAccountDetail
Làm ơn Trạng thái tài khoản của ?,Trạng thái tài khoản của tôi,getAccountDetail
Tôi cần Kiểm tra số dư với,Kiểm tra số dư,getAccountDetail
Vui lòng Loại tiền của tài khoản ạ,Loại tiền của tài khoản,getAccountDetail
Xem số dư tài khoản giúp với được không,Xem số dư tài khoản,getAccountDetail
Cho mình Cho biết số tài khoản?,Cho biết số tài khoản,getAccountDetail
Tôi muốn Hạn mức thấu chi của tài khoản,Hạn mức thấu chi của tài khoản,getAccountDetail
em muốn Cho mình Số tài khoản của em là gì,Số tài khoản của tôi là gì,getAccountDetail
Balance tài khoản của tôi ạ ạ,Balance tài khoản của tôi,getAccountDetail
Tài khoản đang hoạt động không giúp với nhé,Tài khoản đang hoạt động không,getAccountDetail
Giúp tôi Có thể Số tài khoản của tui là gì,Số tài khoản của tôi là gì,getAccountDetail
Số dư tài khoản của tôi là được được bao nhiêu nhé,Số dư tài khoản của tôi là bao nhiêu,getAccountDetail
Số dư tài khoản của tôi là bao nhiêu giùm với,Số dư tài khoản của tôi là bao nhiêu,getAccountDetail
Giúp mình Kiểm tra chi tiết số dư được không?,Kiểm tra chi tiết số dư,getAccountDetail
Tôi muốn Mình muốn Tài khoản đang hoạt động không,Tài khoản đang hoạt động không,getAccountDetail
Cho tôi Được không nếu Chi nhánh mở tài khoản của tôi,Chi nhánh mở tài khoản của tôi,getAccountDetail
Cho mình Số tài khoản của là gì,Số tài khoản của tôi là gì,getAccountDetail
muốn Xem hạn mức thấu chi với,Xem hạn mức thấu chi,getAccountDetail
Cho tui Loại tài khoản là gì,Loại tài khoản của tôi là gì,getAccountDetail
Được không nếu Tên sản phẩm tài khoản giúp với,Tên sản phẩm tài khoản,getAccountDetail
Cho tôi Tài khoản đang hoạt động không nha,Tài khoản đang hoạt động không,getAccountDetail
Cho Kiểm tra số dư nhé,Kiểm tra số dư,getAccountDetail
Giúp Tiền trong tài khoản còn bao nhiêu?,Tiền trong tài khoản còn bao nhiêu,getAccountDetail
Cho mình Loại tài khoản của em là gì,Loại tài khoản của tôi là gì,getAccountDetail
Hạn mức thấu chi của tài khoản giúp với được không,Hạn mức thấu chi của tài khoản,getAccountDetail
Có thể Số tài khoản của mình là gì nhé,Số tài khoản của tôi là gì,getAccountDetail
Giúp tôi Số tài khoản của mình là gì giùm,Số tài khoản của tôi là gì,getAccountDetail
em muốn Xem số dư tài khoản ạ,Xem số dư tài khoản,getAccountDetail
xem balance nhé,Kiểm tra số dư,getAccountDetail
Làm ơn Tiền trong tài khoản còn là gì?,Tiền trong tài khoản còn bao nhiêu,getAccountDetail
Cho mình Balance tài khoản của mình nhé,Balance tài khoản của tôi,getAccountDetail
Vui lòng Còn là gì tiền trong tài khoản với,Còn bao nhiêu tiền trong tài khoản,getAccountDetail
Cho tôi Được không nếu Loại tài khoản của em là gì,Loại tài khoản của tôi là gì,getAccountDetail
Cho Tiền trong tài khoản còn bao nhiêu được không,Tiền trong tài khoản còn bao nhiêu,getAccountDetail
